,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
933,Fish disease detection using image based machine learning technique in aquaculture,"MS Ahmed, TT Aurpa, MAK Azad",2022," … of King Saud University-Computer and …,",Elsevier,119,39.666666666666664
934,Machine Learning Applications in Kubernetes for Autonomous Container Management,OP Egbuna,2024," Journal of Artificial Intelligence Research,",thesciencebrigade.com,7,7.0
935,"… , solar, and photovoltaic renewable energy systems with and without energy storage optimization: A survey of advanced machine learning and deep learning …","L Abualigah, RA Zitar, KH Almotairi, AMA Hussein…",2022," Energies,",mdpi.com,111,37.0
936,Eye tracking-based diagnosis and early detection of autism spectrum disorder using machine learning and deep learning techniques,"IA Ahmed, EM Senan, TH Rassem, MAH Ali…",2022," Electronics,",mdpi.com,101,33.666666666666664
937,A critical review on the use (and misuse) of differential privacy in machine learning,"A Blanco-Justicia, D Sánchez, J Domingo-Ferrer…",2022," ACM Computing …,",dl.acm.org,53,17.666666666666668
938,Application of machine learning techniques in rice leaf disease detection,"H Pallathadka, P Ravipati, GS Sajja…",2022," Materials Today …,",Elsevier,51,17.0
939,Industrial practitioners' mental models of adversarial machine learning,"L Bieringer, K Grosse, M Backes, B Biggio…",2022," … Symposium on Usable …,",usenix.org,23,7.666666666666667
940,Xrbench: An extended reality (xr) machine learning benchmark suite for the metaverse,"H Kwon, K Nair, J Seo, J Yik…",2023," … Machine Learning …,",proceedings.mlsys.org,23,11.5
941,Machine learning-driven multiscale modeling: bridging the scales with a next-generation simulation infrastructure,"HI Ingólfsson, H Bhatia, F Aydin…",2023," Journal of Chemical …,",ACS Publications,21,10.5
942,Predicting compressive strength of geopolymer concrete using machine learning,"P Gupta, N Gupta, KK Saxena",2023," Innovation and Emerging …,",World Scientific,46,23.0
943,A novel approach for best parameters selection and feature engineering to analyze and detect diabetes: Machine learning insights,"MS Ali, MK Islam, AA Das, DUS Duranta…",2023," BioMed Research …,",Wiley Online Library,27,13.5
944,Machine learning models for predicting the compressive strength of concrete containing nano silica,"A Garg, P Aggarwal, Y Aggarwal…",2022," Computers and …,",koreascience.kr,91,30.333333333333332
945,Efficient model for coronary artery disease diagnosis: a comparative study of several machine learning algorithms,"A Garavand, C Salehnasab…",2022," Journal of …,",Wiley Online Library,43,14.333333333333334
946,Machine learning optimization model for reducing the electricity loads in residential energy forecasting,"B Wang, X Wang, N Wang, Z Javaheri…",2023," … Informatics and Systems,",Elsevier,31,15.5
947,How to certify machine learning based safety-critical systems? A systematic literature review,"F Tambon, G Laberge, L An, A Nikanjam…",2022," Automated Software …,",Springer,73,24.333333333333332
948,Efficient machine learning technique for tumor classification based on gene expression data,"C Venkatesan, D Balamurugan…",2022,,ieeexplore.ieee.org,84,28.0
949,Effectively predicting the presence of coronary heart disease using machine learning classifiers,"CAU Hassan, J Iqbal, R Irfan, S Hussain, AD Algarni…",2022," Sensors,",mdpi.com,56,18.666666666666668
950,"A comparative machine learning study for time series oil production forecasting: ARIMA, LSTM, and Prophet","Y Ning, H Kazemi, P Tahmasebi",2022," Computers & Geosciences,",Elsevier,125,41.666666666666664
951,Uses of different machine learning algorithms for diagnosis of dental caries,"S Talpur, F Azim, M Rashid, SA Syed…",2022," Journal of …,",Wiley Online Library,30,10.0
952,Data science and machine learning in the IIoT concepts of power plants,"SD Milić, Ž Đurović, MD Stojanović",2023," … Journal of Electrical Power & Energy …,",Elsevier,27,13.5
953,Theft detection dataset for benchmarking and machine learning based classification in a smart grid environment,"S Zidi, A Mihoub, SM Qaisar, M Krichen…",2023," Journal of King Saud …,",Elsevier,86,43.0
954,Enhancing the government accounting information systems using social media information: An application of text mining and machine learning,"HK Duan, MA Vasarhelyi, M Codesso…",2023," International Journal of …,",Elsevier,52,26.0
955,Machine learning models for predicting cytotoxicity of nanomaterials,"Z Ji, W Guo, EL Wood, J Liu, S Sakkiah…",2022," Chemical Research …,",ACS Publications,36,12.0
956,Prediction of estuarine water quality using interpretable machine learning approach,"S Wang, H Peng, S Liang",2022," Journal of Hydrology,",Elsevier,97,32.333333333333336
957,"Machine learning techniques for diagnosis of alzheimer disease, mild cognitive disorder, and other types of dementia","G Mirzaei, H Adeli",2022," Biomedical Signal Processing and Control,",Elsevier,138,46.0
958,Tpu v4: An optically reconfigurable supercomputer for machine learning with hardware support for embeddings,"N Jouppi, G Kurian, S Li, P Ma, R Nagarajan…",2023," Proceedings of the 50th …,",dl.acm.org,216,108.0
959,"Machine learning techniques for forecasting agricultural prices: A case of brinjal in Odisha, India","RK Paul, M Yeasin, P Kumar, P Kumar…",2022," Plos one,",journals.plos.org,53,17.666666666666668
960,Comparing machine learning algorithms to predict vegetation fire detections in Pakistan,"F Shahzad, K Mehmood, K Hussain, I Haidar…",2024," Fire Ecology,",Springer,5,5.0
961,Evaluating machine learning models for sepsis prediction: A systematic review of methodologies,"HF Deng, MW Sun, Y Wang, J Zeng, T Yuan, T Li…",2022," Iscience,",cell.com,33,11.0
962,Application of machine learning models to investigate the performance of stainless steel type 904 with agricultural waste,"O Sanni, O Adeleke, K Ukoba, J Ren, TC Jen",2022," Journal of Materials …,",Elsevier,40,13.333333333333334
963,Comparison of statistical and machine learning methods for daily SKU demand forecasting,"E Spiliotis, S Makridakis, AA Semenoglou…",2022," Operational …,",Springer,102,34.0
964,Co-optimization of therapeutic antibody affinity and specificity using machine learning models that generalize to novel mutational space,"EK Makowski, PC Kinnunen, J Huang, L Wu…",2022," Nature …,",nature.com,83,27.666666666666668
965,"Machine Learning Empowering Drug Discovery: Applications, Opportunities and Challenges","X Qi, Y Zhao, Z Qi, S Hou, J Chen",2024," Molecules,",mdpi.com,8,8.0
966,Heart disease classification using optimized Machine learning algorithms,"MA Kadhim, AM Radhi",2023," Iraqi Journal For Computer Science and …,",iasj.net,30,15.0
967,Sentiment analysis in multilingual context: Comparative analysis of machine learning and hybrid deep learning models,"RK Das, M Islam, MM Hasan, S Razia, M Hassan…",2023," Heliyon,",cell.com,23,11.5
968,Machine learning-based project resource allocation fitment analysis system (ML-PRAFS),"M Rudra Kumar, R Pathak, VK Gunjan",2022," … Intelligence in Machine Learning …,",Springer,29,9.666666666666666
969,Building portfolios based on machine learning predictions,"T Kaczmarek, K Perez",2022," Economic research-Ekonomska istraživanja,",hrcak.srce.hr,40,13.333333333333334
970,Ensemble learning using traditional machine learning and deep neural network for diagnosis of Alzheimer's disease,"D Nguyen, H Nguyen, H Ong, H Le, H Ha…",2022," IBRO Neuroscience …,",Elsevier,38,12.666666666666666
971,"The two-stage machine learning ensemble models for stock price prediction by combining mode decomposition, extreme learning machine and improved harmony …","M Jiang, L Jia, Z Chen, W Chen",2022," Annals of Operations Research,",Springer,83,27.666666666666668
972,A comprehensive review on artificial intelligence/machine learning algorithms for empowering the future IoT toward 6G era,"MR Mahmood, MA Matin, P Sarigiannidis…",2022," IEEE …,",ieeexplore.ieee.org,91,30.333333333333332
973,Structural review of relics tourism by text mining and machine learning,"S Das, S Mondal, V Puri, V Vrana",2022," Journal of Tourism, Heritage & …,",papers.ssrn.com,27,9.0
974,Machine learning (ML)-centric resource management in cloud computing: A review and future directions,"T Khan, W Tian, G Zhou, S Ilager, M Gong…",2022," Journal of Network and …,",Elsevier,98,32.666666666666664
975,Pushing the limits of functionality‐multiplexing capability in metasurface design based on statistical machine learning,"W Ma, Y Xu, B Xiong, L Deng, RW Peng…",2022," Advanced …,",Wiley Online Library,150,50.0
976,Optimized stacking ensemble learning model for breast cancer detection and classification using machine learning,"M Kumar, S Singhal, S Shekhar, B Sharma…",2022," Sustainability,",mdpi.com,55,18.333333333333332
977,Motor imagery classification in brain-machine interface with machine learning algorithms: Classical approach to multi-layer perceptron model,"R Sharma, M Kim, A Gupta",2022," Biomedical Signal Processing and Control,",Elsevier,90,30.0
978,Skin lesion classification of dermoscopic images using machine learning and convolutional neural network,"B Shetty, R Fernandes, AP Rodrigues…",2022," Scientific Reports,",nature.com,118,39.333333333333336
979,"Validation and utility of ARDS subphenotypes identified by machine-learning models using clinical data: an observational, multicohort, retrospective analysis","MV Maddali, M Churpek, T Pham…",2022," The Lancet …,",thelancet.com,90,30.0
980,Denial of service attack detection and mitigation for internet of things using looking-back-enabled machine learning techniques,"A Mihoub, OB Fredj, O Cheikhrouhou, A Derhab…",2022," Computers & Electrical …,",Elsevier,140,46.666666666666664
981,Machine learning and analytical model hybridization to assess the impact of climate change on solar PV energy production,"SC Nwokolo, AU Obiwulu, JC Ogbulezie",2023," … and Chemistry of the Earth, Parts …,",Elsevier,48,24.0
982,An approach to forecast impact of Covid‐19 using supervised machine learning model,"S Mohan, A Abugabah, S Kumar Singh…",2022," Software: Practice …,",Wiley Online Library,84,28.0
983,Symmetry breaking in geometric quantum machine learning in the presence of noise,"C Tüysüz, SY Chang, M Demidik, K Jansen…",2024," PRX Quantum,",APS,7,7.0
984,"Potential for artificial intelligence (AI) and machine learning (ML) applications in biodiversity conservation, managing forests, and related services in India","KN Shivaprakash, N Swami, S Mysorekar, R Arora…",2022," Sustainability,",mdpi.com,78,26.0
985,Exploring online intelligent teaching method with machine learning and SVM algorithm,"W Shuo, M Ming",2022," Neural Computing and Applications,",Springer,42,14.0
986,Machine-learning-based IoT–edge computing healthcare solutions,"AK Alnaim, AM Alwakeel",2023," Electronics,",mdpi.com,40,20.0
987,Rice seedling detection in UAV images using transfer learning and machine learning,"HH Tseng, MD Yang, R Saminathan, YC Hsu…",2022," Remote Sensing,",mdpi.com,39,13.0
988,Wild patterns reloaded: A survey of machine learning security against training data poisoning,"AE Cinà, K Grosse, A Demontis, S Vascon…",2023," ACM Computing …,",dl.acm.org,102,51.0
989,"State-of-the-art review on energy and load forecasting in microgrids using artificial neural networks, machine learning, and deep learning techniques","R Wazirali, E Yaghoubi, MSS Abujazar…",2023," Electric power systems …,",Elsevier,82,41.0
990,Biomimetic Mechanical Robust Cement‐Resin Composites with Machine Learning‐Assisted Gradient Hierarchical Structures,"Z Wu, H Pan, P Huang, J Tang, W She",2024," Advanced Materials,",Wiley Online Library,8,8.0
991,A machine learning‐assisted multifunctional tactile sensor for smart prosthetics,"Y Li, L Yang, S Deng, H Huang, Y Wang, Z Xiong…",2023," InfoMat,",Wiley Online Library,26,13.0
992,Tutorial on multimodal machine learning,"LP Morency, PP Liang, A Zadeh",2022, … of the,aclanthology.org,22,7.333333333333333
